# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   66       2.346629551655e-10       3.686064159019e-14      -5.300881231279e-13       1.852151635974e-16       3.022450396697e-11       3.658642399959e-12      -8.725716846021e-15 
   67       2.377160954503e-10       3.848054326610e-14      -5.825504112565e-13       1.908814510776e-16       2.918115031605e-11       3.547593676413e-12      -8.881313146102e-15 
   68       2.407990166600e-10       4.013207033006e-14      -6.366940608156e-13       1.966325857898e-16       2.818020884457e-11       3.440400302207e-12      -8.997649232357e-15 
   69       2.439128810948e-10       4.181454657409e-14      -6.925023483063e-13       2.024688548076e-16       2.722094457915e-11       3.337045323027e-12      -9.082304203627e-15 
   70       2.470588744846e-10       4.352738412953e-14      -7.499566061414e-13       2.083905740815e-16       2.630357619070e-11       3.237644410463e-12      -9.142879356694e-15 
   71       2.502376922378e-10       4.526997015022e-14      -8.090362749919e-13       2.143981012214e-16       2.542758500723e-11       3.142247169223e-12      -9.188066413019e-15 
   72       2.534495079474e-10       4.704166729096e-14      -8.697189030581e-13       2.204918371190e-16       2.459167689241e-11       3.050833514728e-12      -9.227688260940e-15 
   73       2.566939418967e-10       4.884181418600e-14      -9.319801453408e-13       2.266722275717e-16       2.379374412405e-11       2.963310050696e-12      -9.272739697882e-15 
   74       2.599700295653e-10       5.066972592743e-14      -9.957937629128e-13       2.329397649051e-16       2.303082727267e-11       2.879506446733e-12      -9.335428172563e-15 
   75       2.632761901355e-10       5.252469454372e-14      -1.061131622190e-12       2.392949895970e-16       2.229907707997e-11       2.799171815918e-12      -9.429214527194e-15 
   76       2.666108700234e-10       5.440582969116e-14      -1.127960796423e-12       2.457383930081e-16       2.159471005693e-11       2.722041269105e-12      -9.564914060392e-15 
   77       2.699746785732e-10       5.631154613195e-14      -1.196234261566e-12       2.522701015108e-16       2.091716072489e-11       2.648057596700e-12      -9.738088825329e-15 
   78       2.733685864084e-10       5.823998323037e-14      -1.265898494550e-12       2.588901374411e-16       2.026643761244e-11       2.577183618244e-12      -9.939419595189e-15 
   79       2.767932675896e-10       6.018915369555e-14      -1.336896161367e-12       2.655985124829e-16       1.964216307364e-11       2.509333443886e-12      -1.015840218613e-14 
   80       2.802490819622e-10       6.215694078346e-14      -1.409166056919e-12       2.723952272630e-16       1.904355554356e-11       2.444370290993e-12      -1.038330741317e-14 
   81       2.837360575046e-10       6.414109549875e-14      -1.482643044870e-12       2.792802709467e-16       1.846941179381e-11       2.382104300777e-12      -1.060114104609e-14 
   82       2.872538726759e-10       6.613923379668e-14      -1.557257997496e-12       2.862536208335e-16       1.791808918811e-11       2.322290354907e-12      -1.079760376531e-14 
   83       2.908018387640e-10       6.814883378501e-14      -1.632937735532e-12       2.933152419515e-16       1.738748793785e-11       2.264625892131e-12      -1.095705111776e-14 
   84       2.943792675124e-10       7.016748489064e-14      -1.709613375725e-12       3.004651019927e-16       1.687556146760e-11       2.208822232075e-12      -1.106574007680e-14 
   85       2.979866826912e-10       7.219368894908e-14      -1.787247095250e-12       3.077032198462e-16       1.638198359319e-11       2.154836914784e-12      -1.112227482969e-14 
   86       3.016247779490e-10       7.422618740595e-14      -1.865809714613e-12       3.150296244060e-16       1.590672647787e-11       2.102676054118e-12      -1.112882731297e-14 
   87       3.052940383793e-10       7.626372257540e-14      -1.945272764409e-12       3.224443398027e-16       1.544954835806e-11       2.052323321175e-12      -1.108801954457e-14 
   88       3.089947293441e-10       7.830503907672e-14      -2.025608566478e-12       3.299473852570e-16       1.500998467461e-11       2.003738996322e-12      -1.100293881669e-14 
   89       3.127268852969e-10       8.034888527095e-14      -2.106790315061e-12       3.375387749323e-16       1.458733920418e-11       1.956859021230e-12      -1.087715288873e-14 
   90       3.164902986059e-10       8.239401469743e-14      -2.188792157954e-12       3.452185177884e-16       1.418067519058e-11       1.911594050910e-12      -1.071472518026e-14 
   91       3.202845083775e-10       8.443918751049e-14      -2.271589277666e-12       3.529866174344e-16       1.378880647613e-11       1.867828505738e-12      -1.052022996393e-14 
   92       3.241087892790e-10       8.648317191596e-14      -2.355157972576e-12       3.608430719819e-16       1.341028863299e-11       1.825419623498e-12      -1.029876755841e-14 
   93       3.279624089560e-10       8.852463566162e-14      -2.439467661725e-12       3.687879910091e-16       1.304376169498e-11       1.784233305494e-12      -1.005549145437e-14 
   94       3.318454688470e-10       9.056179871974e-14      -2.524455347420e-12       3.768219668936e-16       1.268905658067e-11       1.744259881004e-12      -9.794075338156e-15 
   95       3.357581697506e-10       9.259273078102e-14      -2.610047443986e-12       3.849457593169e-16       1.234623945346e-11       1.705514082129e-12      -9.518042525791e-15 
   96       3.397005471105e-10       9.461545647478e-14      -2.696167482585e-12       3.931601845700e-16       1.201527096008e-11       1.667999364095e-12      -9.231241866056e-15 
   97       3.436724635249e-10       9.662795529634e-14      -2.782736081515e-12       4.014661170151e-16       1.169600218832e-11       1.631707462351e-12      -8.937856233822e-15 
   98       3.476736012574e-10       9.862816153442e-14      -2.869670916497e-12       4.098644905455e-16       1.138817062472e-11       1.596617949672e-12      -8.642411023361e-15 
   99       3.517034547466e-10       1.006139641985e-13      -2.956886690974e-12       4.183563000471e-16       1.109139611228e-11       1.562697793257e-12      -8.349782641664e-15 
  100       3.557613231164e-10       1.025832069463e-13      -3.044295106401e-12       4.269426028583e-16       1.080517680820e-11       1.529900911828e-12      -8.065207001756e-15 
  101       3.598463026862e-10       1.045336880110e-13      -3.131804832535e-12       4.356245202316e-16       1.052888514154e-11       1.498167732729e-12      -7.794288016015e-15 
  102       3.639572794810e-10       1.064631601287e-13      -3.219321477735e-12       4.444032387935e-16       1.026176377095e-11       1.467424749029e-12      -7.543006089489e-15 
  103       3.680929217413e-10       1.083693304660e-13      -3.306747559249e-12       4.532800120058e-16       1.000292154238e-11       1.437584076618e-12      -7.317726613212e-15 
  104       3.722519640348e-10       1.102499691684e-13      -3.393988994334e-12       4.622560300293e-16       9.751535515500e-12       1.408563464583e-12      -7.123733086824e-15 
  105       3.764341194300e-10       1.121032518627e-13      -3.480975636236e-12       4.713320061483e-16       9.507496830354e-12       1.380350358784e-12      -6.960582519705e-15 
  106       3.806392771542e-10       1.139274635017e-13      -3.567643469852e-12       4.805085369414e-16       9.270844958046e-12       1.352945706926e-12      -6.826135525391e-15 
  107       3.848672177622e-10       1.157208949823e-13      -3.653928380075e-12       4.897862289032e-16       9.041567666727e-12       1.326344062576e-12      -6.717968038341e-15 
  108       3.891176088507e-10       1.174818442662e-13      -3.739766193743e-12       4.991656984599e-16       8.819599243799e-12       1.300533367017e-12      -6.633363594388e-15 
  109       3.933900007730e-10       1.192086175011e-13      -3.825092721592e-12       5.086475719831e-16       8.604818718110e-12       1.275494731117e-12      -6.569305611193e-15 
  110       3.976838223535e-10       1.208995301416e-13      -3.909843800203e-12       5.182324858045e-16       8.397048082155e-12       1.251202217183e-12      -6.522469668693e-15 
  111       4.019983766024e-10       1.225529080703e-13      -3.993955333955e-12       5.279210862311e-16       8.196050514277e-12       1.227622620827e-12      -6.489215789557e-15 
  112       4.063328364299e-10       1.241670887188e-13      -4.077363336973e-12       5.377140295592e-16       8.001528600864e-12       1.204715252825e-12      -6.465580719636e-15 
  113       4.106862403611e-10       1.257404221888e-13      -4.160003975081e-12       5.476119820890e-16       7.813122558548e-12       1.182431720975e-12      -6.447270208416e-15 
  114       4.150574882503e-10       1.272712723732e-13      -4.241813607752e-12       5.576156201398e-16       7.630408456408e-12       1.160715711963e-12      -6.429651289467e-15 
  115       4.194453369955e-10       1.287580180768e-13      -4.322728830055e-12       5.677256300640e-16       7.452896438163e-12       1.139502773221e-12      -6.407744560901e-15 
  116       4.238485706487e-10       1.301990821649e-13      -4.402684965979e-12       5.779427093935e-16       7.280138124841e-12       1.118735079218e-12      -6.377241197800e-15 
  117       4.282665433703e-10       1.315930206318e-13      -4.481611250883e-12       5.882675704062e-16       7.112067437727e-12       1.098408233432e-12      -6.337710770951e-15 
  118       4.326986947475e-10       1.329384465166e-13      -4.559435139374e-12       5.987009370220e-16       6.948698067494e-12       1.078529773471e-12      -6.289770757642e-15 
  119       4.371443785916e-10       1.342340041995e-13      -4.636083829473e-12       6.092435437353e-16       6.790017197860e-12       1.059104611070e-12      -6.234098033102e-15 
  120       4.416028601949e-10       1.354783707697e-13      -4.711484290879e-12       6.198961356390e-16       6.635984693132e-12       1.040134946439e-12      -6.171430211361e-15 
